raceth,age_group_5yr,sex,statefip,n,weighted
White Non-Hispanic,25-29,NA,21,8440,924448
White Non-Hispanic,25-29,NA,22,5641,606397
White Non-Hispanic,25-29,NA,23,2127,286538
White Non-Hispanic,25-29,NA,24,6872,667818
White Non-Hispanic,25-29,NA,25,12085,1203900
White Non-Hispanic,25-29,NA,26,16319,1773328
White Non-Hispanic,25-29,NA,27,8883,1032940
White Non-Hispanic,25-29,NA,28,3423,362892
White Non-Hispanic,25-29,NA,29,11068,1163110
White Non-Hispanic,25-29,NA,30,1739,229473
White Non-Hispanic,25-29,NA,31,3418,362224
White Non-Hispanic,25-29,NA,32,2803,323259
White Non-Hispanic,25-29,NA,33,2318,291095
White Non-Hispanic,25-29,NA,34,10473,1084104
White Non-Hispanic,25-29,NA,35,1265,157903
White Non-Hispanic,25-29,NA,36,26844,2681965
White Non-Hispanic,25-29,NA,37,14928,1589048
White Non-Hispanic,25-29,NA,38,1349,175258
White Non-Hispanic,25-29,NA,39,20715,2194597
White Non-Hispanic,25-29,NA,40,4877,601991
White Non-Hispanic,25-29,NA,41,6644,735177
White Non-Hispanic,25-29,NA,42,21029,2169985
White Non-Hispanic,25-29,NA,44,1647,177162
White Non-Hispanic,25-29,NA,45,7440,766827
White Non-Hispanic,25-29,NA,46,1468,170314
White Non-Hispanic,25-29,NA,47,12193,1310639
White Non-Hispanic,25-29,NA,48,27113,2940296
White Non-Hispanic,25-29,NA,49,7373,759958
White Non-Hispanic,25-29,NA,50,999,133384
White Non-Hispanic,25-29,NA,51,12068,1249639
White Non-Hispanic,25-29,NA,53,11041,1259917
White Non-Hispanic,25-29,NA,54,3122,360017
White Non-Hispanic,25-29,NA,55,9343,1083318
White Non-Hispanic,25-29,NA,56,920,110666
White Non-Hispanic,30-34,NA,1,7864,806401
White Non-Hispanic,30-34,NA,2,981,132950
White Non-Hispanic,30-34,NA,4,8837,928566
White Non-Hispanic,30-34,NA,5,5275,542090
White Non-Hispanic,30-34,NA,6,34291,3634519
White Non-Hispanic,30-34,NA,8,12275,1222443
White Non-Hispanic,30-34,NA,9,5641,506804
White Non-Hispanic,30-34,NA,10,1362,149241
White Non-Hispanic,30-34,NA,11,1705,138161
White Non-Hispanic,30-34,NA,12,23269,2624395
White Non-Hispanic,30-34,NA,13,14742,1387266
White Non-Hispanic,30-34,NA,15,774,82513
White Non-Hispanic,30-34,NA,16,3650,388099
White Non-Hispanic,30-34,NA,17,20764,1881629
White Non-Hispanic,30-34,NA,18,13430,1323722
White Non-Hispanic,30-34,NA,19,6358,626604
White Non-Hispanic,30-34,NA,20,5294,521159
White Non-Hispanic,30-34,NA,21,9124,949091
White Non-Hispanic,30-34,NA,22,6348,676780
White Non-Hispanic,30-34,NA,23,2636,315356
White Non-Hispanic,30-34,NA,24,8270,745762
White Non-Hispanic,30-34,NA,25,13183,1231211
White Non-Hispanic,30-34,NA,26,18183,1850835
White Non-Hispanic,30-34,NA,27,10926,1084882
White Non-Hispanic,30-34,NA,28,3777,388558
White Non-Hispanic,30-34,NA,29,12177,1225862
White Non-Hispanic,30-34,NA,30,2126,241223
White Non-Hispanic,30-34,NA,31,3870,364287
White Non-Hispanic,30-34,NA,32,3530,379273
White Non-Hispanic,30-34,NA,33,2811,314037
White Non-Hispanic,30-34,NA,34,12311,1132733
White Non-Hispanic,30-34,NA,35,1559,175705
White Non-Hispanic,30-34,NA,36,30453,2779948
White Non-Hispanic,30-34,NA,37,16656,1693910
White Non-Hispanic,30-34,NA,38,1619,171636
White Non-Hispanic,30-34,NA,39,22854,2306571
White Non-Hispanic,30-34,NA,40,5452,654096
White Non-Hispanic,30-34,NA,41,8116,849059
White Non-Hispanic,30-34,NA,42,24009,2392643
White Non-Hispanic,30-34,NA,44,1823,199998
White Non-Hispanic,30-34,NA,45,8190,831780
White Non-Hispanic,30-34,NA,46,1618,173202
White Non-Hispanic,30-34,NA,47,13227,1361342
White Non-Hispanic,30-34,NA,48,31052,3179289
White Non-Hispanic,30-34,NA,49,7113,706141
White Non-Hispanic,30-34,NA,50,1297,141352
White Non-Hispanic,30-34,NA,51,13457,1328670
White Non-Hispanic,30-34,NA,53,13754,1460479
White Non-Hispanic,30-34,NA,54,3330,375141
White Non-Hispanic,30-34,NA,55,11116,1106376
White Non-Hispanic,30-34,NA,56,1066,120536
White Non-Hispanic,35-39,NA,1,7818,785511
White Non-Hispanic,35-39,NA,2,1005,142309
White Non-Hispanic,35-39,NA,4,8859,911643
White Non-Hispanic,35-39,NA,5,5027,532869
White Non-Hispanic,35-39,NA,6,35746,3645291
White Non-Hispanic,35-39,NA,8,12046,1170042
White Non-Hispanic,35-39,NA,9,5936,546170
White Non-Hispanic,35-39,NA,10,1295,145893
White Non-Hispanic,35-39,NA,11,1457,117729
White Non-Hispanic,35-39,NA,12,24049,2536282
White Non-Hispanic,35-39,NA,13,14586,1395581
White Non-Hispanic,35-39,NA,15,778,89526
White Non-Hispanic,35-39,NA,16,3730,389805
White Non-Hispanic,35-39,NA,17,21526,1984972
White Non-Hispanic,35-39,NA,18,13208,1301591
White Non-Hispanic,35-39,NA,19,6486,662551
White Non-Hispanic,35-39,NA,20,5513,563030
White Non-Hispanic,35-39,NA,21,8911,925231
White Non-Hispanic,35-39,NA,22,6809,698754
White Non-Hispanic,35-39,NA,23,2730,310616
White Non-Hispanic,35-39,NA,24,8846,794620
White Non-Hispanic,35-39,NA,25,12498,1219441
White Non-Hispanic,35-39,NA,26,18076,1791652
White Non-Hispanic,35-39,NA,27,11874,1171042
White Non-Hispanic,35-39,NA,28,3832,398019
White Non-Hispanic,35-39,NA,29,12414,1267628
White Non-Hispanic,35-39,NA,30,2204,252045
White Non-Hispanic,35-39,NA,31,3807,392329
White Non-Hispanic,35-39,NA,32,3636,386390
White Non-Hispanic,35-39,NA,33,2824,313501
White Non-Hispanic,35-39,NA,34,12623,1151145
White Non-Hispanic,35-39,NA,35,1601,181835
White Non-Hispanic,35-39,NA,36,29782,2672436
White Non-Hispanic,35-39,NA,37,16276,1629827
White Non-Hispanic,35-39,NA,38,1688,176353
White Non-Hispanic,35-39,NA,39,22550,2248167
White Non-Hispanic,35-39,NA,40,5833,680189
White Non-Hispanic,35-39,NA,41,8465,852740
White Non-Hispanic,35-39,NA,42,24336,2393549
White Non-Hispanic,35-39,NA,44,1734,184979
White Non-Hispanic,35-39,NA,45,8092,810244
White Non-Hispanic,35-39,NA,46,1765,184560
White Non-Hispanic,35-39,NA,47,12736,1301431
White Non-Hispanic,35-39,NA,48,33191,3291625
White Non-Hispanic,35-39,NA,49,7049,699729
White Non-Hispanic,35-39,NA,50,1414,153709
White Non-Hispanic,35-39,NA,51,14015,1374857
White Non-Hispanic,35-39,NA,53,14224,1438920
White Non-Hispanic,35-39,NA,54,3377,369461
White Non-Hispanic,35-39,NA,55,11928,1173631
White Non-Hispanic,35-39,NA,56,1212,136106
White Non-Hispanic,40-44,NA,1,7972,814886
White Non-Hispanic,40-44,NA,2,908,119245
White Non-Hispanic,40-44,NA,4,8886,898389
White Non-Hispanic,40-44,NA,5,5266,549040
White Non-Hispanic,40-44,NA,6,34080,3443494
White Non-Hispanic,40-44,NA,8,11408,1096400
White Non-Hispanic,40-44,NA,9,5443,513081
White Non-Hispanic,40-44,NA,10,1235,131316
White Non-Hispanic,40-44,NA,11,1034,82918
White Non-Hispanic,40-44,NA,12,24185,2546374
White Non-Hispanic,40-44,NA,13,14458,1378302
White Non-Hispanic,40-44,NA,15,789,87614
White Non-Hispanic,40-44,NA,16,3962,431316
White Non-Hispanic,40-44,NA,17,20967,1861181
White Non-Hispanic,40-44,NA,18,13132,1313107
White Non-Hispanic,40-44,NA,19,6576,671448
White Non-Hispanic,40-44,NA,20,5379,560286
White Non-Hispanic,40-44,NA,21,9225,953615
White Non-Hispanic,40-44,NA,22,6558,692294
White Non-Hispanic,40-44,NA,23,2737,310672
White Non-Hispanic,40-44,NA,24,8164,717306
White Non-Hispanic,40-44,NA,25,11620,1122351
White Non-Hispanic,40-44,NA,26,17812,1773702
